id,name,query_name,query_address,address,latitude,longitude,rating,review_count,price,type,phone,website,opening_hours,service_options,highlights,popular_for,offerings,atmosphere,crowd,dining_options
6930,Cơm niêu Singapore KOMBO - 46 Trần Đại Nghĩa,Kombo cơm niêu Singapore - 46 Trần Đại Nghĩa,"46 Trần Đại Nghĩa, P. Đồng Tâm, Q. Hai Bà Trưng, Hà Nội","46 Trần Đại Nghĩa, P, Bạch Mai, Hà Nội, Việt Nam",21.002047299999997,105.8447676,3.4,542,100-200 N ₫,Nhà hàng; Nhà hàng Singapore,+84 987 830 909,http://kombo.vn/,"{""open_state"": ""Sắp đóng cửa · 22:00 · Mở cửa lúc 9:30 CN"", ""hours"": [{""thứ bảy"": ""09:30–22:00""}, {""chủ nhật"": ""09:30–22:00""}, {""thứ hai"": ""09:30–22:00""}, {""thứ ba"": ""09:30–22:00""}, {""thứ tư"": ""09:30–22:00""}, {""thứ năm"": ""09:30–22:00""}, {""thứ sáu"": ""09:30–22:00""}]}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}",,Bữa trưa; Bữa tối; Ăn tối một mình,Ăn thoả thích; Bia; Món ăn từ nguyên liệu hữu cơ; Phần ăn nhỏ; Rượu,Ấm cúng,Chào đón những người thuộc giới LGBTQ+; Dành cho gia đình; Nhóm; Nơi an toàn cho người chuyển giới,Bữa nửa buổi; Bữa trưa; Bữa tối; Dịch vụ ăn uống; Món tráng miệng; Chỗ ngồi; Phục vụ tại bàn
31215,Cơm rang hải sơn,Cơm Rang Hải Sơn - Giải Phóng,"32 Ngõ 75 Giải Phóng, P.Đồng Tâm, Q.Hai Bà Trưng, Hà Nội","Ngõ 26 Đ. Hoàng Mai, Tổ 7, Tương Mai, Hà Nội, Việt Nam",20.991828599999998,105.8518271,,,,Cửa hàng tạp phẩm,,,,,,,,,,
11471,Phở Bò Thiên Trường,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,"15 Ngõ 75 Đường Giải Phóng, Đồng Tâm, Hai Bà Trưng, Hà Nội, Việt Nam","133 P. Vĩnh Hồ, Thịnh Quang, Đống Đa, Hà Nội, Việt Nam",21.0081718,105.82014509999999,4.5,22,1-100.000 ₫,Nhà hàng phở,+84 988 439 203,,"{""open_state"": ""Mở cả ngày"", ""hours"": [{""thứ bảy"": ""Mở cửa cả ngày""}, {""chủ nhật"": ""Mở cửa cả ngày""}, {""thứ hai"": ""Mở cửa cả ngày""}, {""thứ ba"": ""Mở cửa cả ngày""}, {""thứ tư"": ""Mở cửa cả ngày""}, {""thứ năm"": ""Mở cửa cả ngày""}, {""thứ sáu"": ""Mở cửa cả ngày""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,Nhà hàng thức ăn nhanh,Thông thường,Nhóm,Bữa trưa; Bữa tối; Dịch vụ ăn uống; Phục vụ tại bàn
99491,SVN Coffee Tạ Quang Bửu,Svn Coffee - Cafe Pha Máy - Khu Tập Thể Bách Khoa,"112 K2 Khu Tập Thể Bách Khoa, Ngõ 48 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội","2R2X+GPP, Ng. 48 P. Tạ Quang Bửu, Khu tập thể Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.0013261,105.84933199999999,4.7,9,,Quán cà phê,+84 964 602 332,,"{""open_state"": ""Sắp đóng cửa · 22:00 · Mở cửa lúc 7:00 CN"", ""hours"": [{""thứ bảy"": ""07:00–22:00""}, {""chủ nhật"": ""07:00–22:00""}, {""thứ hai"": ""07:00–22:00""}, {""thứ ba"": ""07:00–22:00""}, {""thứ tư"": ""07:00–22:00""}, {""thứ năm"": ""07:00–22:00""}, {""thứ sáu"": ""07:00–22:00""}]}","{""Ăn_tại_chỗ"": true}",Cà phê ngon,,Cà phê,Ấm cúng; Thông thường,Nhóm,
55021,Diên An Cà Phê - Tô Hiến Thành,Tan.Coffee - Cafe Ngon & Nước Ép - Tô Hiến Thành,"29 Tô Hiến Thành, P.Nguyễn Du, Q.Hai Bà Trưng, Hà Nội","58 P. Tô Hiến Thành, Hai Bà Trưng, Hà Nội, Việt Nam",21.0135448,105.8498226,4.5,231,1-100.000 ₫,Quán cà phê,+84 582 265 858,,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""07:00–23:00""}, {""chủ nhật"": ""07:00–23:00""}, {""thứ hai"": ""07:00–23:00""}, {""thứ ba"": ""07:00–23:00""}, {""thứ tư"": ""07:00–23:00""}, {""thứ năm"": ""07:00–23:00""}, {""thứ sáu"": ""07:00–23:00""}]}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}",Cà phê ngon,Phù hợp để làm việc trên máy tính xách tay,Cà phê,Thông thường,Nhóm,Chỗ ngồi; Phục vụ tại bàn
91370,"46B Ngõ 257 Thanh Nhàn, Hai Bà Trưng, Hà Nội",An Toàn Khu Coffee - Thanh Nhàn,"111 Khu Tập Thể 257 Thanh Nhàn, Hai Bà Trưng, Hà Nội","2V23+V54, Ngõ 257, Thanh Nhàn, Bạch Mai, Hà Nội, Việt Nam",21.0021421,105.8529628,5.0,5,,Quán cà phê,+84 377 805 655,,"{""open_state"": ""Mở cả ngày"", ""hours"": [{""thứ bảy"": ""Mở cửa cả ngày""}, {""chủ nhật"": ""Mở cửa cả ngày""}, {""thứ hai"": ""Mở cửa cả ngày""}, {""thứ ba"": ""Mở cửa cả ngày""}, {""thứ tư"": ""Mở cửa cả ngày""}, {""thứ năm"": ""Mở cửa cả ngày""}, {""thứ sáu"": ""Mở cửa cả ngày""}]}","{""Ăn_tại_chỗ"": true, ""giao_hàng"": true}",,,Cà phê,Ấm cúng; Thông thường,Nhóm,Phục vụ tại bàn
132692,Kàffe Cay Xang,Ghé Coffee - Cà Phê Mang Đi - Tạ Quang Bửu,"Số 10 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội","101 E5 Ngõ, 29 P. Tạ Quang Bửu, Bách Khoa, Bạch Mai, Hà Nội 100000, Việt Nam",21.002006599999998,105.84974,4.3,890,1-100.000 ₫,Quán cà phê,+84 936 381 337,https://www.facebook.com/kaffecayxang,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""07:00–23:00""}, {""chủ nhật"": ""07:00–23:00""}, {""thứ hai"": ""07:00–23:00""}, {""thứ ba"": ""07:00–23:00""}, {""thứ tư"": ""07:00–23:00""}, {""thứ năm"": ""07:00–23:00""}, {""thứ sáu"": ""07:00–23:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",Cà phê ngon; Nhiều trà ngon; Thể thao,Phù hợp để làm việc trên máy tính xách tay,Cà phê; Nhà hàng thức ăn nhanh; Rượu,Ấm cúng; Lãng mạn; Thông thường,Nhóm; Sinh viên,Bữa nửa buổi; Bữa trưa; Bữa tối; Dịch vụ ăn uống; Món tráng miệng; Chỗ ngồi; Phục vụ tại bàn
103976,"THE GO • Tagom - Cafe, Trà, Matcha & bánh...","Thego Tagom Cafe - Matcha, Trà & Bánh - Lê Thanh Nghị","Số 25 ngõ 104 Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","25 Ng. 104 P. Lê Thanh Nghị, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.002580899999998,105.8460023,5.0,31,1-100.000 ₫,Quán cà phê,+84 866 322 828,,"{""open_state"": ""Sắp đóng cửa · 22:00 · Mở cửa lúc 7:30 CN"", ""hours"": [{""thứ bảy"": ""07:30–22:00""}, {""chủ nhật"": ""07:30–23:00""}, {""thứ hai"": ""07:30–22:00""}, {""thứ ba"": ""07:30–22:00""}, {""thứ tư"": ""07:30–22:00""}, {""thứ năm"": ""07:30–22:00""}, {""thứ sáu"": ""07:30–22:00""}]}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}",Cà phê ngon; Nhiều trà ngon,,Cà phê; Rượu,Ấm cúng; Thông thường,Chào đón những người thuộc giới LGBTQ+; Dành cho gia đình; Nhóm; Nơi an toàn cho người chuyển giới; Sinh viên,Bữa sáng; Bữa nửa buổi; Bữa trưa; Bữa tối; Dịch vụ ăn uống; Món tráng miệng; Chỗ ngồi
129860,You Tea Trần Đại Nghĩa,You Tea - Trần Đại Nghĩa,"75 Trần Đại Nghĩa, Phường Bạch Mai, Hà Nội","75 Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.0058965,105.845821,4.9,224,1-100.000 ₫,Quán cà phê,+84 986 271 833,https://youtea.club/,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""07:00–23:00""}, {""chủ nhật"": ""07:00–23:00""}, {""thứ hai"": ""07:00–23:00""}, {""thứ ba"": ""07:00–23:00""}, {""thứ tư"": ""07:00–23:00""}, {""thứ năm"": ""07:00–23:00""}, {""thứ sáu"": ""07:00–23:00""}]}",,,,Cà phê,,,
82559,Z'ONE,Oet O Oet - Drink & Food - Giải Phóng,"72 Ngõ 24 Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội","2 P. Lý Thường Kiệt, Phan Chu Trinh, Cửa Nam, Hà Nội 100000, Việt Nam",21.0218201,105.8574689,4.1,1472,₫₫,Nhà hàng; Cửa hàng bia,+84 948 023 232,http://z-one.com.vn/,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 0:00"", ""hours"": [{""thứ bảy"": ""08:30–00:00""}, {""chủ nhật"": ""08:30–00:00""}, {""thứ hai"": ""08:30–00:00""}, {""thứ ba"": ""08:30–00:00""}, {""thứ tư"": ""08:30–00:00""}, {""thứ năm"": ""08:30–00:00""}, {""thứ sáu"": ""08:30–00:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",Món tráng miệng ngon; Nhạc sống; Nhiều bia ngon; Nhiều rượu vang ngon; Rượu cốc tai ngon,Bữa sáng; Bữa trưa; Bữa tối,Bia; Cà phê; Nhà hàng thức ăn nhanh; Phần ăn nhỏ; Rượu; Rượu cốc tai; Rượu mạnh; Rượu vang,Ấm cúng; Cao cấp,Du khách; Nhóm,Bữa sáng; Bữa nửa buổi; Bữa trưa; Bữa tối; Dịch vụ ăn uống; Món tráng miệng; Chỗ ngồi; Phục vụ tại bàn
64917,"BINHCHUN 52 Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng",Bing Long - Ice Cream & Tea - Trần Đại Nghĩa,"123 Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội","52 Trần Đại Nghĩa, Đồng Tâm, Bạch Mai, Hà Nội 10000, Việt Nam",21.0013971,105.84504969999999,4.0,50,,Quán trà Trung Quốc; Nhà phân phối đồ uống,+84 967 905 743,,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""09:00–23:00""}, {""chủ nhật"": ""09:00–23:00""}, {""thứ hai"": ""09:00–23:00""}, {""thứ ba"": ""09:00–23:00""}, {""thứ tư"": ""09:00–23:00""}, {""thứ năm"": ""09:00–23:00""}, {""thứ sáu"": ""09:00–23:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,,,,
131660,L’U Cofee & tea,"Tiệm Thỏ - Fruit Juice, Tea & Coffee - Tạ Quang Bửu","Số Nhà 98 Ngõ 40 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội","101 Ng. 48 P. Tạ Quang Bửu, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.000915199999998,105.84883529999999,4.6,30,1-100.000 ₫,Quán cà phê,+84 869 648 169,https://m.facebook.com/lucoffeetea/?mibextid=LQQJ4d,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""00:00–23:00""}, {""chủ nhật"": ""08:00–23:00""}, {""thứ hai"": ""08:00–23:00""}, {""thứ ba"": ""08:00–23:00""}, {""thứ tư"": ""08:00–23:00""}, {""thứ năm"": ""08:00–23:00""}, {""thứ sáu"": ""08:00–23:00""}]}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}",Cà phê ngon; Nhiều trà ngon,Phù hợp để làm việc trên máy tính xách tay,Cà phê,Ấm cúng; Thông thường,Nhóm; Sinh viên,Dịch vụ ăn uống; Phục vụ tại bàn
129518,Rosier Fresh Tea & Coffee - Lê Thanh Nghị,Rosier Fresh Tea & Coffee - Lê Thanh Nghị,"117 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội","117 P. Lê Thanh Nghị, Đồng Tâm, Bạch Mai, Hà Nội 10000, Việt Nam",21.0017106,105.8433312,3.4,60,1-100.000 ₫,Quán cà phê,+84 898 117 666,https://rosier.com.vn/,"{""open_state"": ""Sắp đóng cửa · 22:30 · Mở cửa lúc 8:00 CN"", ""hours"": [{""thứ bảy"": ""08:00–22:30""}, {""chủ nhật"": ""08:00–22:30""}, {""thứ hai"": ""08:00–22:30""}, {""thứ ba"": ""08:00–22:30""}, {""thứ tư"": ""08:00–22:30""}, {""thứ năm"": ""08:00–22:30""}, {""thứ sáu"": ""08:00–22:30""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",Cà phê ngon; Nhiều trà ngon,Phù hợp để làm việc trên máy tính xách tay,Cà phê,Thông thường,Nhóm; Sinh viên,Dịch vụ ăn uống
92263,Pet Mart Đại Cồ Việt - Cửa Hàng Thú Cưng,Đồ Ăn Vặt Lay Mart - Đại Cồ Việt,"31 Ngõ 66 Đại Cồ Việt, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội","3 Đ. Đại Cồ Việt, Cầu Dền, Bạch Mai, Hà Nội 11625, Việt Nam",21.008502,105.851036,4.5,84,,Dịch vụ trông thú cưng; Trại chăm sóc mèo; Trung tâm chăm sóc chó ban ngày; Người huấn luyện chó; Người dắt chó đi dạo; Dịch vụ cấp cứu thú y; Dịch vụ nhận nuôi thú cảnh; Dịch vụ chăm sóc thú nuôi; Huấn luận viên thú cảnh,+84 1900 2100,https://www.petmart.vn/dich-vu-khach-san-trong-giu-cho-meo,"{""open_state"": ""Mở cả ngày"", ""hours"": [{""thứ bảy"": ""Mở cửa cả ngày""}, {""chủ nhật"": ""Mở cửa cả ngày""}, {""thứ hai"": ""Mở cửa cả ngày""}, {""thứ ba"": ""Mở cửa cả ngày""}, {""thứ tư"": ""Mở cửa cả ngày""}, {""thứ năm"": ""Mở cửa cả ngày""}, {""thứ sáu"": ""Mở cửa cả ngày""}]}","{""Ăn_tại_chỗ"": true, ""nhận_hàng_ở_lề_đường"": true, ""giao_hàng"": true}",,,,,Chào đón những người thuộc giới LGBTQ+; Nơi an toàn cho người chuyển giới,
113989,""" Đi Ăn Chay Đi "" Quán","Đi Ăn Chay Đi - Cơm Chay, Bún & Bánh Mì Chay - 57 Chùa Liên Phái","57 Ngõ Chùa Liên Phái, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","57 Ng. Chùa Liên Phái, Cầu Dền, Bạch Mai, Hà Nội, Việt Nam",21.004993199999998,105.8494762,4.1,59,1-100.000 ₫,Nhà hàng cho người ăn chay,+84 983 134 969,https://instagram.com/dianchaydi?igshid=OGQ5ZDc2ODk2ZA==,"{""open_state"": ""Đã đóng cửa · Mở cửa lúc 6:30 CN"", ""hours"": [{""thứ bảy"": ""06:30–21:00""}, {""chủ nhật"": ""06:30–21:00""}, {""thứ hai"": ""06:30–21:00""}, {""thứ ba"": ""06:30–21:00""}, {""thứ tư"": ""06:30–21:00""}, {""thứ năm"": ""06:30–21:00""}, {""thứ sáu"": ""06:30–21:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}",,Bữa trưa; Ăn tối một mình,Các món chay; Nhà hàng thức ăn nhanh,Thông thường,,Bữa trưa; Dịch vụ ăn uống
72995,Mr Mlem 2 - Buffet Nướng Lẩu - có mở đêm,2Mlem - Đồ Ăn Vặt & Mì - Đê Tô Hoàng,"25 Ngõ 67 Đê Tô Hoàng, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội","65 P. Ô Chợ Dừa, Phường, Đống Đa, Hà Nội 100000, Việt Nam",21.019564,105.8273887,4.8,1773,100-200 N ₫,Nhà hàng món nướng,+84 949 922 909,https://www.facebook.com/mlem.mr/,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:59"", ""hours"": [{""thứ bảy"": ""17:30–23:59""}, {""chủ nhật"": ""17:30–23:59""}, {""thứ hai"": ""17:30–23:59""}, {""thứ ba"": ""17:30–23:59""}, {""thứ tư"": ""17:30–23:59""}, {""thứ năm"": ""17:30–23:59""}, {""thứ sáu"": ""17:30–23:59""}]}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}",Nhiều bia ngon,Bữa tối; Ăn tối một mình,Ăn thoả thích; Bia; Có giờ giảm giá đặc biệt; Đồ ăn khuya; Nhà hàng thức ăn nhanh; Phần ăn nhỏ; Rượu; Rượu mạnh,Ấm cúng; Thông thường,Du khách; Nhóm; Sinh viên,Bữa trưa; Bữa tối; Dịch vụ ăn uống; Món tráng miệng; Chỗ ngồi; Phục vụ tại bàn
9934,Bún bò Lan Chi,Bún Bò Huế Lan Chi - Đại Cồ Việt,"51 Đại Cồ Việt, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam","51 Đ. Đại Cồ Việt, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.007825,105.84684759999999,3.4,5,,Nhà hàng châu Á,,,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""05:30–23:00""}, {""chủ nhật"": ""05:30–23:00""}, {""thứ hai"": ""05:30–23:00""}, {""thứ ba"": ""05:30–23:00""}, {""thứ tư"": ""05:30–23:00""}, {""thứ năm"": ""05:30–23:00""}, {""thứ sáu"": ""05:30–23:00""}]}","{""Ăn_tại_chỗ"": true}",,,,Thông thường,Nhóm,Dịch vụ ăn uống; Phục vụ tại bàn
