relation_key,source_entity_key,target_entity_key,relation_type,store_key,review_id,text_unit_id,sentiment,confidence,evidence
5d7d38816ba4a6833318e2d35a5f1f7f67c10d1ddc5d09a21772a9dd368f053e,problem:nabi-bun-cha-quat-com-tam-com-van-phong-tay-son,price_value:price-value,HAS_POSITIVE_SIGNAL,97742,7ae42d66486164bb,tu_7ae42d66486164bb,positive,0.95,đáng đồng tiền
c18a1312d8283924b28753bec3f4b1cb8cf1c995918ab744fd3bde0ffb579c58,problem:nabi-bun-cha-quat-com-tam-com-van-phong-tay-son,service_quality:food-quality,HAS_POSITIVE_SIGNAL,97742,7ae42d66486164bb,tu_7ae42d66486164bb,positive,0.73,ngon xỉu
bdcba48bcb19fb4415de142ad9a473e0054373059232ba085ec2934a15e2f1aa,problem:nabi-bun-cha-quat-com-tam-com-van-phong-tay-son,space_quality:cleanliness,HAS_POSITIVE_SIGNAL,97742,7ae42d66486164bb,tu_7ae42d66486164bb,positive,0.88,sạch sẽ
4416a11818b50db8fff62325ab3a64f6d279520f5f045729b68d96d374395f32,problem:nabi-bun-cha-quat-com-tam-com-van-phong-tay-son,delivery_packaging:delivery-packaging,HAS_POSITIVE_SIGNAL,97742,7ae42d66486164bb,tu_7ae42d66486164bb,positive,0.94,đóng gói tốt
7b00296f06b068b2d836e72390fced5277e376d5e3f59aa8f19ca821923718e3,dish:bun-cha,food_descriptor:vi-dam-da,DESCRIBES_FOOD,97742,7c4646359cd75afd,tu_7c4646359cd75afd,positive,0.95,vị đậm đà ngon
319ff762484ecadc99f027ef7bfa0d00a2b9c0e24a20fef1077c2efdccdc8338,dish:bun-cha,food_descriptor:ngon,DESCRIBES_FOOD,97742,7c4646359cd75afd,tu_7c4646359cd75afd,positive,0.93,ngon xỉu
ece092b193799812560f4906fe75a48fe75b0912e49382b555741e9dba021d2a,dish:bun-cha,price_value:dang-dong-tien,HAS_POSITIVE_SIGNAL,97742,7c4646359cd75afd,tu_7c4646359cd75afd,positive,0.9,đáng đồng tiền
4577d077045e9e26046a61880b801b98f892e23945bb7f9c124ba526be8c0dea,dish:bun-cha,delivery_packaging:dong-goi-tot,HAS_POSITIVE_SIGNAL,97742,7c4646359cd75afd,tu_7c4646359cd75afd,positive,0.87,đóng gói tốt
c523c015811e8d493ff50d34c282b8fbe2fca5f6e0dcd6f7d4fe7a8e36807473,dish:bun-cha,space_quality:sach-se,HAS_POSITIVE_SIGNAL,97742,7c4646359cd75afd,tu_7c4646359cd75afd,positive,0.85,sạch sẽ
073b90fd55707eec44102e3f81730f5244a1828dfe17e046b457f8babf6bd090,dish:bun-cha,service_quality:yen-tam-ve-thuc-pham,HAS_POSITIVE_SIGNAL,97742,7c4646359cd75afd,tu_7c4646359cd75afd,positive,0.72,rất yên tâm về thực phẩm
b975b2d0184e9a36ae9f2a95a7c3a8c33fc7597b704194ef55786fe8bf3e1424,food_descriptor:ngon-xiu,dish:bun-cha-quat,DESCRIBES_FOOD,97742,e30ba8949ea2d587,tu_e30ba8949ea2d587,positive,0.8,ngon xỉu
0c4c6bcc5d55e76d01a450057e9fae8ad64a3434ceba18ae28e27670361d6a6f,food_descriptor:ngon-xiu,dish:com-tam,DESCRIBES_FOOD,97742,e30ba8949ea2d587,tu_e30ba8949ea2d587,positive,0.72,ngon xỉu
eb9da6656d080335c7f5e12c4b93d55476eb626cf371f3065a48b0672581ae33,food_descriptor:ngon-xiu,dish:com-van-phong,DESCRIBES_FOOD,97742,e30ba8949ea2d587,tu_e30ba8949ea2d587,positive,0.72,ngon xỉu
3d0a4619a01c0ce4734f88d40743bd9ec589d913d4f900b97df1d134026364a4,dish:com-suon-cha-trung,problem:thieu-cha-trung,HAS_PROBLEM,97742,aacd67ada15eea36,tu_aacd67ada15eea36,negative,0.95,cơm sườn chả trứng mà k có chả trứng
9a056207ccb6d77d0eaf98ede295d0491052c02376422113a8ebbe3db835d582,dish:cha-trung,problem:thieu-cha-trung,HAS_PROBLEM,97742,aacd67ada15eea36,tu_aacd67ada15eea36,negative,0.9,k có chả trứng
09e07bb387fe78ca4084e8b979d9e564c97884a5e60e660b4bc0cbfd1236076e,dish:pho-bo,food_descriptor:ngon,DESCRIBES_FOOD,130307,bc9541e1fead26dd,tu_bc9541e1fead26dd,positive,0.52,ngon xỉu
2f1bda087d5e5e3c26aeb8056965164048652611412b15cb06c83b7a499c4c07,dish:bun-cha,food_descriptor:ngon,DESCRIBES_FOOD,130307,bc9541e1fead26dd,tu_bc9541e1fead26dd,positive,0.52,ngon xỉu
ab3764f717738aec662a34e992b0e5c10801a73a359108a775c6fe443a489beb,dish:chao,food_descriptor:ngon,DESCRIBES_FOOD,130307,bc9541e1fead26dd,tu_bc9541e1fead26dd,positive,0.52,ngon xỉu
cfabdd90fecd026ae6b3e0088049388df95378cfae53d8e38835813d85c787bc,dish:com,food_descriptor:ngon,DESCRIBES_FOOD,130307,bc9541e1fead26dd,tu_bc9541e1fead26dd,positive,0.52,ngon xỉu
f3b1146ee8c756828e21247b6f737ff240a91a18776dab2c5c1dc1b1e9a5c51b,dish:bo-tai,food_descriptor:cung,DESCRIBES_FOOD,130307,ca0d927e46b103bd,tu_ca0d927e46b103bd,negative,0.96,trần kỹ cứng hết cả
6e928372146de454501693d5df032a13239c132d20cdd8bef3ffb89f1383abe6,dish:bo-tai,problem:khong-lam-dung-ghi-chu,HAS_PROBLEM,130307,ca0d927e46b103bd,tu_ca0d927e46b103bd,negative,0.95,ghi chú phần bò tái ko trần thì lại trần kỹ
9853893bf6a53ff4b873f719296a059723af2e5603cf2022d9349fcae1fcab05,dish:thit-chin-nam,problem:sai-thieu-mon,HAS_PROBLEM,130307,ca0d927e46b103bd,tu_ca0d927e46b103bd,negative,0.93,"thịt chín nạm thì ko thấy đâu, sai/thiếu món"
fd040750058f571d2c77890fef43e8f15066f15f8c0a922cda262bbbad55a97b,dish:com-do-an-vat,food_descriptor:ngon-xiu,DESCRIBES_FOOD,22758,8a694549684838e9,tu_8a694549684838e9,positive,0.93,ngon xỉu
b03cb237336ca44334232e5b7cd6df981623cbcb4ebd26f293b782ad9129a49c,delivery_packaging:dong-goi,problem:chua-tot,HAS_NEGATIVE_SIGNAL,22758,7959f3533c185ec2,tu_7959f3533c185ec2,negative,0.94,đóng gói chưa tốt
bbdab03b7790142adfeb638b695127cc43838686a75bf25622f6bfbaf280ec9a,service_quality:thien-truong-pho-co-com-ga-xoi-mam,delivery_packaging:dong-goi,MENTIONS,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,neutral,0.72,quán đóng gói không cẩn thận
a7216da61c88e89bcd4821cc9b9786d3773879b818a20498ee7d7bc916c5d1c8,delivery_packaging:dong-goi,problem:dong-goi-khong-can-than,HAS_NEGATIVE_SIGNAL,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.97,đóng gói không cẩn thận
abcf78742f2f4ad4125ac966b7f2fb7b7b33717824c388aee8afb054e6e7d277,delivery_packaging:dong-goi,problem:dong-goi-chua-tot,HAS_NEGATIVE_SIGNAL,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.96,đóng gói chưa tốt
08c732ca5a12dbc8c9061a48f8b94a06b05bff47ab2a48b07e26b800d9c09855,service_quality:thien-truong-pho-co-com-ga-xoi-mam,problem:dong-goi-khong-can-than,HAS_PROBLEM,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.9,quán đóng gói không cẩn thận
a501b824ab3aca33b9bb16f9dfa6951ba6db355f5df161f05db19f77ebf4c20f,service_quality:thien-truong-pho-co-com-ga-xoi-mam,problem:dong-goi-chua-tot,HAS_PROBLEM,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.88,đóng gói chưa tốt
687870b478414f77c5df4d76fba4668e498559a365b8803cc9a39be3b585a32e,dish:com,food_descriptor:leo-teo,DESCRIBES_FOOD,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.8,cơm ... lèo tèo
3847c318440acfc44c6d2ee6c3133f92e15555a8562f4ce713c3bf8567ce69a4,dish:com,food_descriptor:qua-it,DESCRIBES_FOOD,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.94,cơm ... quá ít
dcad064c7e12ca3f5f5ab06936cc13dea71e683f4df7a175fd1462a397130268,dish:mi,food_descriptor:leo-teo,DESCRIBES_FOOD,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.8,mì đều lèo tèo
c09f4beb23811dda489de08516be149cc921fec6012d0e05b2e82bdb43348bbd,dish:mi,food_descriptor:qua-it,DESCRIBES_FOOD,11471,244cbf6cab9d40b3,tu_244cbf6cab9d40b3,negative,0.94,mì đều ... quá ít
7a5fa12db34de761c212c114b67e66664d7d1e18692efd58b11cdc00b87bf51b,dish:thien-truong-pho-co-com-ga-xoi-mam,service_quality:food-quality,HAS_POSITIVE_SIGNAL,11471,58884e5ebe3ac1c9,tu_58884e5ebe3ac1c9,positive,0.84,ngon xỉu
da574a37fd1314c02908425be35267cf509334b55842f38b925ddcbef8f5fb55,dish:thien-truong-pho-co-com-ga-xoi-mam,delivery_packaging:dong-goi,HAS_POSITIVE_SIGNAL,11471,58884e5ebe3ac1c9,tu_58884e5ebe3ac1c9,positive,0.95,đóng gói tốt
681c4aee1d7e1438fbb1f92b9e55174c9b2e6c99b344cd62c15d9ea583d59d22,delivery_packaging:dong-goi,food_descriptor:tot,MENTIONS,11471,58884e5ebe3ac1c9,tu_58884e5ebe3ac1c9,positive,0.58,đóng gói tốt
af40b0b470dd96fdf764dbf6f4f713ca8a871d4c5a4c00fd43f144302e98f1b1,delivery_packaging:packaging,problem:sai-thieu-mon,HAS_PROBLEM,11471,2e8f091631a99785,tu_2e8f091631a99785,negative,0.9,packaging=-1.00; sai/thiếu món
520bee0efce2a605076a3e2b528c986bdafc440f9c4aafb0c1fc34ce0247eb24,food_descriptor:ngon,dish:pho-co-com-ga-xoi-mam,DESCRIBES_FOOD,11471,851efab10ca73713,tu_851efab10ca73713,positive,0.8,khá ngon
bf4c7cebfef7c27523431b7cd49bf1931a39838aeeaab4262cd128bcbb245f06,dish:pho-co-com-ga-xoi-mam,food_descriptor:ngon,HAS_POSITIVE_SIGNAL,11471,851efab10ca73713,tu_851efab10ca73713,positive,0.76,khá ngon
f8fc8731bce21b43b26074e85f0c4a238fcbe5cf5071e6c9a906af06d2b6f09a,service_quality:service-te,problem:cho-hanh-du-da-dan-khong-hanh,HAS_PROBLEM,11471,db76f1976fb4e848,tu_db76f1976fb4e848,negative,0.96,dặn không hành rất to rồi nhưng vẫn cho 1 đống
6e30ae0155b6c5d42b42549252e6363b8fd510b1c0b83c65ba399d18bc8b1b2e,service_quality:service-te,problem:sai-thieu-mon,HAS_PROBLEM,11471,db76f1976fb4e848,tu_db76f1976fb4e848,negative,0.95,sai/thiếu món
e8e060b6c124fe65b9d31f91982fab39e58f7c5a5f5bbbbcb15697d4e22853fb,service_quality:service-te,problem:khong-lam-dung-ghi-chu,HAS_PROBLEM,11471,db76f1976fb4e848,tu_db76f1976fb4e848,negative,0.98,không làm đúng ghi chú
40426db680785cc8875f9479869159738921c815a892c08af21051169b552fc7,dish:pho-co,food_descriptor:khong-hop-khau-vi,DESCRIBES_FOOD,11471,db76f1976fb4e848,tu_db76f1976fb4e848,negative,0.52,không hợp khẩu vị
d513bedbca68ea8ad9cef4e42c360dc7193838af0880859b4d02b37584bdd3c3,dish:com-ga-xoi-mam,food_descriptor:khong-hop-khau-vi,DESCRIBES_FOOD,11471,db76f1976fb4e848,tu_db76f1976fb4e848,negative,0.52,không hợp khẩu vị
24340a5f70f9d74b26a76f5197355ea1bb7cc350fc2dd527667ebbd740f4c3a4,dish:com-van-phong-nuoc-ep,food_descriptor:ngon-xiu,DESCRIBES_FOOD,11326,e90946fe5e330b0d,tu_e90946fe5e330b0d,positive,0.82,ngon xỉu
c5a59f7f8b79e24a4af8fb9d94c29420a0e778d4339f939dcfd5d4e4b9922d0e,dish:do-an,food_descriptor:ngon,DESCRIBES_FOOD,11326,ea92d4a304b91d71,tu_ea92d4a304b91d71,positive,0.97,siêu ngon
415e44962c0dc9327c34d37e491a83ff265a47b87a1d33666f15543e7ee69b54,price_value:gia-tri-tien,dish:do-an,MENTIONS,11326,ea92d4a304b91d71,tu_ea92d4a304b91d71,positive,0.7,đáng đồng tiền
6faecf0a59e62dee5808ceef38c6e31e138f29b04189db888fa10208b622d4fa,delivery_packaging:dong-goi,dish:do-an,MENTIONS,11326,ea92d4a304b91d71,tu_ea92d4a304b91d71,positive,0.62,đóng gói tốt
65102a7b82485271b6f5927f40a4e363b0b2e3806677ee1b33055c17fc61f93a,space_quality:sach-se,dish:do-an,MENTIONS,11326,ea92d4a304b91d71,tu_ea92d4a304b91d71,positive,0.58,sạch sẽ
998d0793d2518cc160301de94342bfe072335df2e438f107d7834a666c6d2f84,dish:com-van-phong,problem:khong-giong-com-van-phong,HAS_PROBLEM,11326,12cf45f29ea20b39,tu_12cf45f29ea20b39,negative,0.9,ko giống cơm vp
9bfed71cccbb7a7d6f63c911670b6fdfec591de82a1595ef3f3f765f0493998b,dish:com,food_descriptor:gion,DESCRIBES_FOOD,8314,4f5984817280af3b,tu_4f5984817280af3b,positive,0.95,cơm giòn
dc3e9a9c2ec6a3c7871c0524eef6806cca0cd5cc5adba7e170bc4b39c126de6a,dish:com,food_descriptor:ngon,DESCRIBES_FOOD,8314,4f5984817280af3b,tu_4f5984817280af3b,positive,0.96,cơm giòn ngon
5594efed72292c1b37ac08642433d2b2d24ff0a2d206d6699ed14600d2317db0,service_quality:phuc-vu-khong-noi-gi,problem:khong-dam-bao-ve-sinh,HAS_PROBLEM,8314,dbb8e7f078a878fe,tu_dbb8e7f078a878fe,negative,0.59,để đây và không nói gì ... không đảm bảo vệ sinh
5ca2ca15492d6d712be228792c1884b380e5f01dd695027ee54116651c28e3be,dish:chat-luong-mon-an,food_descriptor:ngon-xiu,DESCRIBES_FOOD,8314,3f00b8f79cdd65ed,tu_3f00b8f79cdd65ed,positive,0.91,ngon xỉu
0b7c6a289d4840635ef2cffd661db0bef6ccdd75b54d89a88d71ab4c333a27a9,dish:mon-an,food_descriptor:ngon-xiu,DESCRIBES_FOOD,8314,fde5e6063834b72d,tu_fde5e6063834b72d,positive,0.91,ngon xỉu
e726de3c9fb16065ff5cc241a3ffe6c31f0d1078a83bcfb2138fc578e289a327,dish:mon-an,food_descriptor:ngon-xiu,HAS_POSITIVE_SIGNAL,8314,fde5e6063834b72d,tu_fde5e6063834b72d,positive,0.88,ngon xỉu
a499785beb583ca8106387b268cebfca8ba5b03fc1f2c48e9fbc2ceddedcab2f,price_value:dang-dong-tien,dish:mon-an,MENTIONS,8314,fde5e6063834b72d,tu_fde5e6063834b72d,positive,0.52,đáng đồng tiền
7eb08d35ac0ec748ac0a71621d456605d2a609a4cb014d0be8cf664ac9e4eae6,delivery_packaging:dong-goi-tot,dish:mon-an,MENTIONS,8314,fde5e6063834b72d,tu_fde5e6063834b72d,positive,0.5,đóng gói tốt
0cb9baef14782bb23d1da05b0bd59732fd5c7d47b5cf892f7fc089540163cdfd,delivery_packaging:dong-goi,problem:chua-tot,HAS_PROBLEM,8314,067f0442bf3588bd,tu_067f0442bf3588bd,negative,0.93,đóng gói chưa tốt
b00c86e0337d60091f30e9c5b6b12ce09605ba29aa38f43c3d0bfc128cda83a9,dish:pho-xao,food_descriptor:nhat,DESCRIBES_FOOD,8314,c245f9e52651f9a3,tu_c245f9e52651f9a3,negative,0.97,phở xào hơi nhạt
9b2ee288c293bcab380f63c885771480e4e558023a752e85376f5d64b8b96498,dish:pho-xao,problem:thieu-magie,HAS_PROBLEM,8314,c245f9e52651f9a3,tu_c245f9e52651f9a3,negative,0.62,hình như thiếu magie
f0875031ee34f59a89ca8ec8bfd6505ae64fc344e112dca67c281798995de2fc,dish:com-cum,food_descriptor:nhat,DESCRIBES_FOOD,8314,c245f9e52651f9a3,tu_c245f9e52651f9a3,negative,0.94,cơm cũm hơi nhạt
98340072b247e71691ce2599d7ea0d5349c460395899cbdc75e545b0b0cdf80e,dish:nuoc-canh,food_descriptor:dam,DESCRIBES_FOOD,8314,c245f9e52651f9a3,tu_c245f9e52651f9a3,positive,0.9,nc canh là đậm
8450eeface793bcfc78f3653112cfd7f40f7e7756c09ff2fbc0cdd46bb4aed22,dish:bun-rieu-cua,problem:khong-giong-tren-anh,HAS_PROBLEM,126147,c052075a94117be3,tu_c052075a94117be3,negative,0.4,không giống trên ảnh
3b75353432d1726a8254e66ac8068a030e354c7d52d81a9c1bbbecf1f0df559d,dish:com-rang,problem:khong-giong-tren-anh,HAS_PROBLEM,126147,c052075a94117be3,tu_c052075a94117be3,negative,0.4,không giống trên ảnh
f606aa7cea2e6a5ed1f3c562fab9c75d1e30c1d786eec5cbc6c86e27c6458d15,dish:pho-xao,problem:khong-giong-tren-anh,HAS_PROBLEM,126147,c052075a94117be3,tu_c052075a94117be3,negative,0.4,không giống trên ảnh
7f5ba567b2f263c99515129af68a094617482345da53439fdb2da5a58f21bfdf,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,problem:dua-moc,HAS_PROBLEM,59967,856653aa94c915f9,tu_856653aa94c915f9,negative,0.95,đũa mốc
80ced39eb152afcb39ebb0f979933934015504db3b7ba8d8eac73fc107836c96,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,problem:khong-dam-bao-ve-sinh,HAS_PROBLEM,59967,856653aa94c915f9,tu_856653aa94c915f9,negative,0.97,không đảm bảo vệ sinh
9ff40dc1aabd4460d86b74ae4300a5874e5eca4f567094f94896840b288cbaae,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,service_quality:ve-sinh,HAS_NEGATIVE_SIGNAL,59967,856653aa94c915f9,tu_856653aa94c915f9,negative,0.78,không đảm bảo vệ sinh
117d268c0f0a4328c2a53daef44a5e06e583664055f565a9e33584bf881b10d3,dish:cha,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,MENTIONS,59967,856653aa94c915f9,tu_856653aa94c915f9,neutral,0.68,chả có 5 miếng
67c39907428fbd8bbe908ce452634babe3e2b1a597f6e89e59dababbb9be475b,dish:nuoc-cham,problem:thieu-nuoc-cham,HAS_PROBLEM,59967,6171cc4bcedb39e0,tu_6171cc4bcedb39e0,negative,0.86,không có nước chấm
23edd174a1c487d7b260000e6d686fa3824d2e2fb02b3ac74dfacbdb9a5064d9,price_value:gia-50k,problem:phan-an-it,HAS_PROBLEM,59967,df3e9851b3929fb9,tu_df3e9851b3929fb9,negative,0.9,50k mà được có mấy miếng
faa28f6e6d89885cc6215f8a417ff610ea47a3c7af50d7f83ab98d1a9beef06c,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,dish:cha-bam,MENTIONS,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,neutral,0.9,chả băm ok
2b140d8f085a3181e25530fddb94aff07cc3e2eb2609e5be829774a75e20521e,dish:cha-bam,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,HAS_POSITIVE_SIGNAL,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,positive,0.86,ok
4740696d2289e8c0119fa53b66f3b3d202f3fb9a41433261e4210657eb48d045,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,dish:cha-mieng,MENTIONS,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,neutral,0.88,chả miếng thì hơi chán
477de93a71a92a292d8de5b54cf1419da636e80f894b479993302e98d868098a,dish:cha-mieng,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,HAS_NEGATIVE_SIGNAL,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.84,hơi chán
9bc9426a16a2a1d069644ac2f96cda4fbee033ff861f308478bae81ded80efe8,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,price_value:gia,MENTIONS,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,neutral,0.87,giá không rẻ
c6cc4f7679bc54a08ada4ba4fa21e1e3954f9c301cc6bed7fb53cf93cb85378f,price_value:gia,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,HAS_NEGATIVE_SIGNAL,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.89,không rẻ
a531a11bb9c4e64ba892b906a707623190f9cd2e14214f7d1663ab96ba50694a,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,dish:thit,MENTIONS,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,neutral,0.83,thịt dai và có phần hơi bèo nhèo
9789b6dd29ce8824b815b3b21682229cd5927c005d359ae756b58a1e31b44efe,dish:thit,food_descriptor:dai,DESCRIBES_FOOD,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.92,thịt dai
5ba0bd4b287b46fdcedec618dc07a1ce959206e8ec9dfc0e9028f44e54f2e8a5,dish:thit,food_descriptor:beo-nheo,DESCRIBES_FOOD,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.9,hơi bèo nhèo
36ba5d2444f9b528aedccf9ad52cdfa87a1ae3bf3b23fac49a53989abeaa61e8,dish:thit,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,HAS_NEGATIVE_SIGNAL,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.85,thịt dai và có phần hơi bèo nhèo
835aebfd88a30a51e547d605a48a4bfc41523d457bb38c59f432c12b51842c0e,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,dish:thit-ba-chi,MENTIONS,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,neutral,0.79,fan thịt ba chỉ
b5f77531f4a435efcb11c5137633d0b96a058efe6259e4ae5f642c824cf077c1,dish:thit-ba-chi,problem:khong-ung-noi,HAS_PROBLEM,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.73,không ưng nổi
4e38babc8147702afc34007e8f341f1c2d9455e6a80a359f82d93e1f14955d9c,dish:thit-ba-chi,service_quality:quan-ha-noi-xua-bun-cha-truong-chinh,HAS_NEGATIVE_SIGNAL,59967,f74c9edfc07b7cd2,tu_f74c9edfc07b7cd2,negative,0.78,không ưng nổi
5c4529e81242e0ea0f683ae04f02be2273ed4a54d198c755068239305dc45437,dish:com,food_descriptor:do,DESCRIBES_FOOD,59967,17ed891e32f351a4,tu_17ed891e32f351a4,negative,0.97,cơm dở
c58b64c8e0ebd2a5dec96b08e4a2f54ee2f23a3dc8f2ed9bddbf8de9e536d568,dish:phan-dac-biet,food_descriptor:nhieu-topping,DESCRIBES_FOOD,128724,a0b6632d19436c51,tu_a0b6632d19436c51,positive,0.76,nhiều topping
012264865aadde544890fa6fef937dd55221e20ec7b5351e5d70e9df08b17dcd,dish:phan-dac-biet,food_descriptor:an-cung-ok,DESCRIBES_FOOD,128724,a0b6632d19436c51,tu_a0b6632d19436c51,positive,0.68,ăn cũng ok
554148fe614f2a004cd4590c37351780c746a9f7a6339e5b1035dbefbdcc636e,dish:phan-dac-biet,problem:ko-co-trung-non,HAS_PROBLEM,128724,a0b6632d19436c51,tu_a0b6632d19436c51,negative,0.94,phần đặc biệt lại ko có trứng non
184c292cbccc3687a0aaa6817525f985a0fedc0967e364abf6ab0f4bb808fefc,problem:thieu-trung-cut,dish:trung-cut,MENTIONS,128724,82bb612a157093f3,tu_82bb612a157093f3,negative,0.9,thiếu trứng cút
b773c74ede5deedbd46f6be223f1e95e6d78bb251f36343bec69304fe342cb20,dish:banh-cuon-nong,food_descriptor:ngon-xiu,DESCRIBES_FOOD,94161,90bf4b4256ce762d,tu_90bf4b4256ce762d,positive,0.71,bánh cuốn nóng ... ngon xỉu
7768b7ece605986970baa9e34de70c7f9fd439338b82fe4df766527dd38733a7,dish:ga-ac-tan,food_descriptor:ngon-xiu,DESCRIBES_FOOD,94161,90bf4b4256ce762d,tu_90bf4b4256ce762d,positive,0.71,gà ác tần ... ngon xỉu
97f6ad76bb31b0f269c908e2931df59e4215cb9a3d0ec0336e670e86d19ff437,dish:banh-cuon-nong-ga-ac-tan,food_descriptor:ngon-xiu,DESCRIBES_FOOD,94161,108180174b27fc7a,tu_108180174b27fc7a,positive,0.94,ngon xỉu
05a4926e2330a4b0e7df8de261edfa93099e82e53e645c3d617f168777a152cc,dish:banh-cuon-nong-ga-ac-tan,price_value:dang-dong-tien,HAS_POSITIVE_SIGNAL,94161,108180174b27fc7a,tu_108180174b27fc7a,positive,0.95,đáng đồng tiền
7fda4a12b19a92592623efbd86a282cd536e9a8a611919c6bed679c800cc5257,dish:banh-cuon-nong-ga-ac-tan,space_quality:sach-se,HAS_POSITIVE_SIGNAL,94161,108180174b27fc7a,tu_108180174b27fc7a,positive,0.8,sạch sẽ
